page,84.63,87.85,72.31
C100,17.41,25.95,54.23
M100,38.57,21.87,22.53
Y100,69.17,75.10,7.54
CM100,36.05,21.68,3.23
CY100,20.35,30.05,12.65
MY100,8.22,6.72,22.69
CMY100,0.99,1.06,0.93
